Id,SalePrice
1461,127841
1462,155113
1463,175901
1464,182022
1465,193291
1466,182141
1467,171629
1468,175687
1469,189454
1470,118799
1471,207540
1472,94027
1473,97470
1474,151211
1475,141499
1476,353875
1477,244125
1478,295949
1479,254994
1480,476312
1481,327152
1482,204290
1483,181096
1484,170431
1485,170938
1486,199300
1487,325743
1488,242362
1489,200446
1490,193489
1491,187000
1492,88202
1493,178774
1494,283292
1495,296021
1496,229049
1497,192559
1498,154327
1499,153046
1500,151225
1501,173150
1502,157198
1503,288376
1504,227142
1505,223284
1506,183725
1507,219516
1508,197535
1509,163780
1510,149243
1511,149821
1512,162219
1513,160055
1514,153526
1515,172557
1516,156727
1517,151403
1518,134035
1519,223805
1520,138509
1521,143670
1522,161113
1523,125595
1524,120574
1525,123918
1526,131027
1527,104638
1528,128139
1529,143677
1530,168712
1531,124629
1532,107084
1533,144435
1534,119442
1535,148416
1536,119910
1537,69602
1538,152140
1539,173260
1540,115851
1541,149053
1542,141659
1543,222687
1544,80597
1545,108952
1546,122237
1547,130659
1548,128794
1549,110238
1550,138606
1551,120345
1552,140331
1553,134975
1554,106177
1555,166610
1556,95144
1557,132524
1558,84223
1559,131987
1560,137026
1561,139919
1562,127548
1563,126430
1564,159860
1565,152626
1566,220303
1567,79566
1568,220296
1569,148309
1570,127840
1571,109522
1572,143459
1573,246021
1574,131437
1575,208537
1576,210376
1577,197941
1578,147392
1579,141063
1580,190074
1581,136449
1582,129372
1583,328340
1584,235755
1585,140513
1586,70728
1587,104195
1588,149032
1589,107104
1590,135835
1591,104680
1592,130646
1593,111342
1594,152403
1595,132099
1596,236853
1597,163498
1598,175809
1599,173540
1600,175382
1601,81319
1602,116536
1603,85174
1604,282876
1605,239001
1606,169043
1607,176406
1608,214108
1609,185651
1610,152198
1611,152122
1612,165027
1613,164422
1614,122144
1615,87480
1616,85001
1617,89757
1618,126135
1619,129179
1620,161004
1621,139899
1622,146828
1623,279831
1624,209499
1625,132480
1626,170502
1627,186391
1628,266444
1629,171881
1630,363646
1631,208522
1632,242672
1633,165738
1634,179554
1635,178457
1636,164469
1637,174802
1638,193513
1639,183011
1640,262072
1641,182826
1642,227349
1643,219266
1644,228470
1645,181210
1646,157026
1647,166037
1648,141713
1649,139967
1650,119944
1651,121615
1652,93236
1653,95841
1654,154554
1655,156431
1656,149887
1657,153326
1658,150840
1659,143433
1660,143229
1661,456164
1662,388205
1663,389721
1664,477872
1665,300087
1666,323518
1667,366041
1668,323143
1669,291284
1670,327154
1671,270684
1672,476677
1673,281119
1674,249533
1675,186296
1676,189984
1677,222851
1678,478626
1679,381305
1680,329056
1681,230249
1682,301382
1683,185682
1684,171258
1685,173845
1686,168739
1687,165446
1688,184132
1689,182168
1690,183677
1691,177713
1692,235025
1693,169578
1694,182093
1695,169516
1696,263065
1697,171625
1698,348800
1699,327946
1700,233397
1701,259446
1702,252380
1703,250747
1704,280732
1705,216910
1706,470824
1707,221209
1708,218920
1709,259481
1710,217740
1711,237161
1712,246160
1713,264269
1714,222743
1715,199977
1716,180079
1717,167469
1718,140866
1719,207835
1720,251395
1721,168012
1722,133132
1723,153914
1724,218640
1725,231589
1726,189815
1727,173821
1728,182207
1729,161359
1730,130871
1731,120832
1732,133314
1733,127900
1734,128463
1735,131526
1736,115108
1737,310577
1738,219717
1739,296447
1740,189614
1741,182075
1742,171631
1743,174868
1744,293161
1745,237810
1746,204615
1747,200330
1748,216662
1749,163859
1750,145987
1751,225311
1752,123770
1753,141059
1754,211675
1755,169925
1756,119290
1757,120600
1758,151020
1759,159150
1760,164872
1761,151100
1762,166420
1763,164899
1764,118590
1765,162950
1766,164855
1767,196038
1768,140428
1769,170809
1770,137256
1771,135259
1772,140481
1773,142403
1774,134945
1775,134233
1776,125723
1777,114825
1778,129315
1779,107246
1780,172556
1781,133136
1782,95697
1783,124134
1784,94386
1785,118409
1786,141354
1787,165737
1788,61965
1789,87367
1790,89565
1791,177390
1792,154911
1793,145904
1794,138770
1795,141763
1796,105745
1797,114913
1798,128246
1799,106820
1800,126389
1801,127416
1802,122571
1803,155821
1804,139882
1805,137709
1806,124061
1807,144098
1808,110362
1809,105221
1810,137195
1811,116966
1812,117041
1813,119670
1814,98097
1815,62114
1816,97849
1817,126110
1818,132210
1819,113589
1820,78531
1821,103242
1822,150698
1823,56985
1824,128615
1825,121705
1826,103924
1827,108495
1828,131892
1829,117232
1830,143644
1831,154843
1832,118875
1833,145812
1834,118966
1835,161634
1836,131977
1837,103183
1838,131706
1839,85045
1840,164810
1841,145242
1842,93656
1843,139206
1844,128494
1845,136520
1846,154838
1847,155145
1848,64903
1849,101072
1850,128902
1851,141871
1852,128412
1853,133057
1854,171137
1855,135019
1856,215221
1857,131209
1858,147019
1859,118279
1860,152321
1861,114911
1862,299301
1863,294969
1864,295066
1865,314408
1866,321832
1867,236062
1868,315871
1869,207370
1870,203333
1871,247221
1872,169427
1873,241129
1874,137020
1875,208657
1876,192827
1877,210083
1878,191756
1879,133425
1880,135412
1881,241682
1882,252458
1883,198542
1884,211770
1885,234449
1886,311910
1887,207111
1888,260703
1889,154750
1890,135551
1891,141861
1892,112494
1893,137026
1894,134028
1895,146210
1896,122200
1897,120797
1898,99036
1899,127767
1900,148983
1901,154458
1902,148931
1903,228727
1904,138627
1905,179336
1906,130376
1907,192415
1908,109555
1909,135738
1910,120265
1911,192379
1912,288591
1913,140776
1914,57029
1915,331162
1916,71842
1917,247258
1918,136021
1919,163531
1920,150312
1921,435329
1922,314797
1923,202080
1924,243370
1925,214466
1926,379715
1927,135118
1928,159843
1929,124440
1930,117553
1931,140189
1932,140135
1933,165775
1934,179471
1935,173358
1936,187263
1937,183521
1938,162016
1939,257636
1940,194740
1941,176023
1942,192421
1943,199619
1944,313450
1945,357372
1946,165976
1947,319549
1948,167834
1949,250610
1950,182113
1951,276389
1952,243154
1953,169472
1954,194935
1955,130208
1956,273696
1957,165697
1958,287785
1959,143651
1960,114304
1961,122787
1962,93631
1963,99599
1964,113730
1965,151959
1966,157079
1967,287142
1968,399104
1969,365264
1970,447775
1971,445735
1972,342886
1973,258382
1974,307560
1975,480778
1976,261924
1977,361221
1978,363578
1979,317607
1980,194521
1981,329727
1982,224685
1983,207476
1984,168593
1985,213933
1986,208397
1987,174163
1988,179082
1989,189708
1990,214749
1991,228539
1992,215565
1993,174761
1994,249869
1995,181669
1996,249349
1997,311932
1998,350202
1999,252801
2000,308399
2001,256933
2002,251435
2003,249341
2004,245378
2005,221054
2006,220766
2007,248033
2008,190507
2009,192805
2010,188230
2011,141991
2012,174113
2013,180841
2014,188637
2015,197016
2016,192442
2017,205797
2018,123699
2019,134358
2020,111296
2021,119591
2022,176509
2023,156373
2024,219010
2025,390331
2026,180665
2027,149304
2028,154657
2029,167824
2030,277893
2031,212119
2032,238458
2033,266516
2034,165690
2035,206498
2036,182572
2037,185051
2038,282445
2039,189476
2040,319944
2041,273131
2042,205702
2043,169737
2044,168007
2045,228928
2046,138578
2047,147256
2048,132464
2049,137166
2050,173955
2051,103921
2052,135459
2053,145007
2054,83895
2055,154355
2056,125677
2057,125384
2058,218552
2059,140788
2060,156753
2061,176552
2062,137471
2063,110703
2064,143149
2065,112093
2066,173496
2067,118036
2068,139305
2069,85807
2070,106479
2071,90868
2072,136842
2073,134414
2074,184378
2075,146615
2076,124874
2077,147392
2078,129195
2079,141757
2080,113468
2081,128866
2082,131376
2083,142078
2084,109698
2085,132810
2086,92480
2087,131765
2088,99610
2089,91383
2090,128112
2091,120477
2092,135190
2093,134373
2094,141890
2095,150739
2096,86039
2097,95309
2098,146256
2099,58339
2100,96137
2101,121493
2102,144354
2103,102106
2104,123409
2105,121434
2106,77401
2107,268510
2108,114546
2109,112673
2110,133184
2111,150194
2112,137265
2113,119369
2114,103472
2115,143768
2116,110347
2117,141579
2118,121841
2119,104752
2120,105651
2121,90327
2122,107112
2123,85220
2124,183616
2125,126110
2126,166526
2127,144212
2128,124703
2129,96752
2130,132356
2131,151741
2132,121759
2133,129737
2134,115693
2135,99318
2136,80575
2137,117314
2138,137248
2139,151797
2140,134127
2141,129816
2142,138121
2143,145742
2144,121719
2145,135347
2146,151189
2147,152441
2148,125572
2149,136267
2150,235925
2151,137897
2152,169324
2153,157307
2154,99742
2155,122677
2156,219704
2157,237669
2158,232114
2159,199812
2160,170523
2161,248284
2162,443730
2163,329904
2164,229403
2165,177215
2166,143049
2167,210544
2168,208922
2169,193097
2170,223177
2171,129553
2172,140981
2173,154271
2174,234268
2175,290028
2176,317676
2177,253602
2178,204344
2179,146580
2180,185310
2181,194166
2182,225951
2183,196391
2184,138213
2185,124498
2186,146084
2187,145805
2188,150791
2189,195739
2190,79749
2191,85821
2192,87482
2193,94823
2194,96926
2195,111489
2196,106837
2197,126252
2198,164419
2199,163187
2200,127102
2201,126813
2202,175908
2203,162801
2204,164376
2205,126988
2206,141681
2207,180144
2208,220575
2209,180077
2210,119781
2211,110647
2212,112643
2213,103392
2214,136279
2215,101313
2216,145290
2217,63292
2218,67113
2219,63391
2220,77234
2221,334623
2222,274427
2223,307338
2224,213887
2225,123109
2226,178654
2227,206485
2228,275642
2229,237784
2230,153700
2231,203188
2232,180687
2233,175887
2234,228353
2235,200905
2236,280061
2237,360883
2238,199021
2239,120717
2240,161240
2241,147128
2242,135326
2243,122018
2244,96361
2245,91873
2246,143759
2247,101360
2248,124730
2249,126360
2250,137973
2251,130679
2252,172996
2253,142575
2254,169777
2255,189141
2256,179153
2257,192786
2258,172506
2259,178354
2260,153301
2261,176152
2262,211157
2263,326197
2264,461114
2265,156188
2266,287582
2267,383939
2268,350383
2269,163025
2270,175814
2271,245632
2272,196616
2273,166783
2274,177661
2275,167432
2276,178241
2277,177348
2278,149517
2279,123094
2280,117443
